ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000099239	Gm27155	processed_pseudogene
ENSMUSG00000105760	RP23-105B8.3	TEC
ENSMUSG00000087569	Gm8464	transcribed_processed_pseudogene
ENSMUSG00000086170	Gm12144	antisense
ENSMUSG00000042564	Fam227a	protein_coding
ENSMUSG00000102484	Gm37923	lincRNA
ENSMUSG00000086580	Gm15280	unprocessed_pseudogene
ENSMUSG00000092253	H2-Q3	unprocessed_pseudogene
ENSMUSG00000102635	Gm36638	TEC
ENSMUSG00000104214	Gm36638	TEC
ENSMUSG00000039563	2210406O10Rik	processed_transcript
ENSMUSG00000035126	Wdr78	protein_coding
ENSMUSG00000097711	Gm5523	processed_pseudogene
ENSMUSG00000098888	Gm18486	processed_pseudogene
ENSMUSG00000028836	Slc30a2	protein_coding
ENSMUSG00000079610	Ankrd39	protein_coding
ENSMUSG00000031621	Isx	protein_coding
ENSMUSG00000028991	Mtor	protein_coding
ENSMUSG00000100052	Gm28353	unprocessed_pseudogene
ENSMUSG00000040312	Cchcr1	protein_coding
ENSMUSG00000041354	Rgl2	protein_coding
ENSMUSG00000034543	Morc2a	protein_coding
ENSMUSG00000026764	Kif5c	protein_coding
ENSMUSG00000037610	Kcnmb2	protein_coding
ENSMUSG00000093520	Vmn1r-ps9	unprocessed_pseudogene
ENSMUSG00000096797	Gm3998	unprocessed_pseudogene
ENSMUSG00000063457	Rps15	protein_coding
ENSMUSG00000100569	Gm28646	unprocessed_pseudogene
ENSMUSG00000095922	Gm4001	unprocessed_pseudogene
ENSMUSG00000102349	Gm37376	TEC
ENSMUSG00000024734	Zp1	protein_coding
ENSMUSG00000079389	Gm3149	protein_coding
ENSMUSG00000066037	Hnrnpr	protein_coding
ENSMUSG00000094243	Gm4003	unprocessed_pseudogene
ENSMUSG00000092267	Gm20417	processed_transcript
ENSMUSG00000010048	Ifrd2	protein_coding
ENSMUSG00000092341	Malat1	lincRNA
ENSMUSG00000086267	Gm12496	lincRNA
ENSMUSG00000103118	Gm37582	TEC
ENSMUSG00000084866	A930006K02Rik	processed_transcript
ENSMUSG00000033910	Gucy1a3	protein_coding
ENSMUSG00000099373	Gm19667	antisense
ENSMUSG00000093621	Vmn1r-ps10	unprocessed_pseudogene
ENSMUSG00000092609	Gm20481	protein_coding
ENSMUSG00000035878	Hykk	protein_coding
ENSMUSG00000031258	Xkrx	protein_coding
ENSMUSG00000091971	Hspa1a	protein_coding
ENSMUSG00000099793	Gm28775	lincRNA
ENSMUSG00000105326	RP24-230L5.3	TEC
ENSMUSG00000090003	Gm15882	antisense
ENSMUSG00000012405	Rpl15	protein_coding
ENSMUSG00000103718	Gm35299	lincRNA
ENSMUSG00000020847	Rph3al	protein_coding
ENSMUSG00000085254	Gm15881	processed_pseudogene
ENSMUSG00000101337	Dnah7c	protein_coding
ENSMUSG00000096674	Mup15	protein_coding
